,BERT Cluster,jobSkill_x,jobSkill_y,title
10,10,"Engineering, Information Technology,Engineering,Information Technology,Marketing, Public Relations, Writing/Editing,Project Management, Management, Business Development,Information Technology, Analyst, Research,Marketing,Other,Design,Quality Assurance,Information Technology, Marketing,Marketing, Sales, Advertising",,46
11,11,"Engineering, Information Technology",,41
12,12,"Analyst, Information Technology, Engineering,Finance, Accounting/Auditing",,17
13,13,"Engineering, Information Technology,Information Technology,Product Management, Marketing,Marketing, Public Relations, Strategy/Planning,Quality Assurance,Information Technology, Project Management, Engineering",,43
14,14,"Finance, Information Technology,Information Technology,Engineering, Information Technology,Analyst, Information Technology, Engineering,Information Technology, Engineering,Project Management, Information Technology,Engineering, Design,Administrative",,107
15,15,"Information Technology,Analyst, Information Technology, Project Management,Information Technology, Product Management, Engineering,Engineering, Information Technology,Information Technology, Engineering,Engineering,Quality Assurance, Engineering, Information Technology,Research, Analyst, Information Technology,Project Management, Information Technology, Engineering,Information Technology, Product Management,Consulting, Information Technology, Other,Research, Information Technology,Engineering, Production, Research,Information Technology, Consulting,Information Technology, Other,Product Management, Marketing,Engineering, Information Technology, Research,Finance, Information Technology, Engineering,Project Management, Engineering,Management, Manufacturing,Training, Education,Project Management, Information Technology,Finance, Sales,Other,Business Development, Sales,Marketing, Sales,Design, Engineering, Information Technology,Engineering, Design, Manufacturing,Research,Consulting, Engineering, Project Management","Technology Design,Programming,Project management software,Process mapping and design software,Development environment software,Configuration management software,Object or component oriented development software,Map creation software,Helpdesk or call center software,Requirements analysis and system architecture software,Program testing software,Mobile operator specific application software,Pattern design software,Aviation ground support software",212
16,16,"Information Technology,Engineering, Information Technology,Information Technology, Engineering,Finance, Information Technology,Finance, Sales,Other,Legal,Business Development, Sales,Finance, Information Technology, Engineering,Project Management, Information Technology,Sales,Sales, Business Development,Consulting, Information Technology, Project Management,General Business, Other,Customer Service, Information Technology,Administrative,Finance,Management, Accounting/Auditing, Other,Supply Chain,Accounting/Auditing,Business Development, Finance,Design, Art/Creative, Information Technology,Research, Analyst, Information Technology,Management, Manufacturing,Marketing, Sales,Product Management, Marketing,Marketing, Business Development, Advertising,Marketing, Strategy/Planning, Business Development,Marketing, Public Relations",,107
17,17,"Engineering, Information Technology,Business Development, Sales,Purchasing, Supply Chain,Sales, Business Development,Design, Art/Creative, Information Technology,Project Management, Information Technology,Other,Quality Assurance,Information Technology,Accounting/Auditing, Finance,Marketing, Sales,Customer Service, Information Technology,Finance, Sales,Management, Manufacturing,Administrative,Legal,Human Resources,Product Management, Marketing",,52
18,18,"Engineering, Information Technology,Other,Information Technology, Engineering,Project Management, Information Technology,Sales, Management, Customer Service,Human Resources,Marketing,Sales, Business Development, Customer Service,Marketing, Sales,Engineering,Research, Analyst, Information Technology,Management, Manufacturing,Training, Management, Customer Service,Customer Service, Information Technology,Business Development, Information Technology,Product Management, Design, Project Management,Business Development, Sales,Strategy/Planning, Analyst, Consulting,Purchasing, Distribution, Supply Chain,Art/Creative, Design, Marketing,Sales, Business Development,Sales, Business Development, Distribution,Information Technology,Human Resources, Other, Information Technology,Education,Public Relations, Writing/Editing,Design, Art/Creative, Advertising,Finance, Sales,Consulting, Information Technology, Sales,Business Development,Customer Service, Marketing,Finance, Analyst, Accounting/Auditing,Finance, Accounting/Auditing,Finance, Accounting/Auditing, Administrative,Finance,Project Management, Management, Strategy/Planning,Design, Art/Creative, Information Technology,Advertising, Writing/Editing, Art/Creative,Project Management, Sales, Management,Business Development, Marketing,Art/Creative,Design, Marketing, Sales,Design, Art/Creative",,148
19,19,"Information Technology,Engineering, Information Technology,Design, Information Technology, Engineering,Information Technology, Product Management, Engineering,Engineering, Information Technology, Manufacturing,Information Technology, Engineering,Management, Supply Chain,Management, Manufacturing,Consulting,Research,General Business, Accounting/Auditing,General Business, Management, Strategy/Planning,Marketing, Sales, Business Development,Supply Chain,Other,Art/Creative, Advertising, Marketing,Human Resources,Research, Analyst, Information Technology,Accounting/Auditing, Finance,Product Management,Finance, Information Technology, Accounting/Auditing,Marketing, Public Relations, Writing/Editing,Business Development, Sales,Sales,Engineering,Project Management, Management, Product Management,Sales, Business Development, Information Technology,Customer Service, Information Technology,Marketing, Strategy/Planning, Art/Creative,Business Development, Customer Service,Customer Service, Sales,Legal, Consulting, Other,Sales, Business Development,Advertising,Consulting, Information Technology, Sales,Marketing,Finance, Sales,Analyst, Information Technology, Consulting,Business Development,Strategy/Planning, Consulting, General Business,Marketing, Sales,Information Technology, Marketing, Consulting,Public Relations, Marketing,Sales, Engineering, Information Technology,Information Technology, Marketing,Advertising, Design, Marketing,Marketing, Business Development, Sales,Marketing, Design, Analyst,Education, Management","Cloud-based data access and sharing software,Video conferencing software,Communications server software,Portal server software,Action games",151
20,20,"Information Technology,Engineering, Information Technology,Sales, Business Development,Marketing, Sales,Accounting/Auditing, Finance,Finance, Sales,Research, Analyst, Information Technology",,11
21,21,"Engineering, Information Technology,Finance, Other,Strategy/Planning, Information Technology, Consulting,Legal,Information Technology, Consulting, Engineering,Sales, Business Development,General Business, Administrative,Finance,Education, Training,Other, Finance,Finance, Sales,Marketing, Sales,Marketing, Public Relations, Writing/Editing,Management, Manufacturing",,44
22,22,"Engineering, Information Technology,Information Technology, Engineering,Project Management, Information Technology,Supply Chain, Manufacturing,Information Technology,Human Resources, Management, Strategy/Planning,Supply Chain,Information Technology, Project Management, Management,Human Resources,Sales, Business Development,Sales, Business Development, Management,Information Technology, Supply Chain,Customer Service, Information Technology,Business Development, Sales,Purchasing, Supply Chain,Accounting/Auditing, Finance,Management, Manufacturing,Administrative,Engineering,Supply Chain, Analyst,Research, Analyst, Information Technology,Finance, Information Technology,Finance, Sales,Finance, Supply Chain, Other,Finance,Accounting/Auditing,Training, Education, Human Resources,Consulting, Information Technology, Sales,Other, Information Technology, Management,Marketing,Consulting, Sales, General Business,Marketing, Sales","Inventory management software,Point of sale POS software,Cloud-based management software",112
23,23,"Engineering, Information Technology,Information Technology, Consulting,Research, Analyst, Information Technology,Engineering,Purchasing, Supply Chain, Information Technology,Business Development, Sales,Sales, Business Development,Marketing, Public Relations, Writing/Editing,Customer Service, Information Technology,Marketing, Sales,Design, Art/Creative, Information Technology,Legal,Accounting/Auditing, Finance,Accounting/Auditing,Education, Marketing, Training,Finance, Sales,Finance,Information Technology,Management,Human Resources,Product Management, Marketing,Sales,Accounting/Auditing, Information Technology, Consulting,General Business, Management, Marketing,Advertising, Marketing,Education, Training,Marketing, Advertising, General Business,Engineering, Project Management, Manufacturing",,100
24,24,"Engineering, Information Technology,Information Technology, Product Management, Engineering,Public Relations, Marketing, Information Technology,Project Management, Information Technology,Management, Manufacturing,Sales, Business Development,Finance, Information Technology,Design, Art/Creative, Information Technology,Product Management, Marketing,Information Technology,Consulting,Quality Assurance,Information Technology, Customer Service,Product Management, Marketing, Strategy/Planning,Finance, Information Technology, Engineering,Information Technology, Management,Marketing, Sales,Strategy/Planning, Consulting, Information Technology,Management, Information Technology, Consulting,Marketing,Product Management, Design, Information Technology",,58
25,25,"Analyst,Engineering, Information Technology,Information Technology,Product Management,Engineering,Information Technology, Engineering,Other,Research, Science,Legal,Management, Manufacturing,Consulting, Human Resources, Business Development,Sales, Business Development,Administrative,Finance, Sales,Marketing, Sales,Finance,Human Resources,Quality Assurance, Science, Health Care Provider,Customer Service, Information Technology,Business Development, Sales,Research, Analyst, Information Technology,Project Management, Research, Science,Sales, Management,Distribution, Supply Chain, Manufacturing,Project Management, Strategy/Planning, Supply Chain,Public Relations,Project Management, Information Technology,Health Care Provider,Quality Assurance, Project Management, Distribution,Accounting/Auditing, Finance,Accounting/Auditing, General Business, Administrative,Finance, Accounting/Auditing,Purchasing, Supply Chain,Business Development,Science, Consulting, Engineering,Product Management, Marketing,Marketing,Analyst, Customer Service, Marketing,Consulting, Information Technology, Sales,Marketing, Sales, Business Development,Marketing, Product Management,Public Relations, Marketing,Purchasing,Information Technology, Marketing, Project Management,Business Development, Marketing, Sales,Supply Chain,Design, Art/Creative, Information Technology,Information Technology, Consulting, Engineering,Engineering, Project Management",,113
26,26,"Other,Sales,Production, Quality Assurance, Product Management,Sales, Business Development,Information Technology,Customer Service, Information Technology,Management, Manufacturing,Education, Training,Business Development, Sales,Customer Service, Business Development,Design, Art/Creative, Information Technology,Health Care Provider",,46
