,BERT Cluster,jobSkill_x,jobSkill_y,title
37,37,"Information Technology, Engineering,Accounting/Auditing, Finance,Finance, Sales,Sales,Information Technology,Management, Manufacturing,Accounting/Auditing, Finance, Administrative,Accounting/Auditing,Finance, Accounting/Auditing,Other,Human Resources, Other,Project Management, Information Technology,Engineering, Project Management,Business Development, Sales,Administrative,Health Care Provider, Accounting/Auditing, Finance,Finance,Accounting/Auditing, Finance, Other,Finance, Advertising,Finance, Accounting/Auditing, General Business,Accounting/Auditing, Finance, Engineering,Finance, Other,Finance, Accounting/Auditing, Analyst,Finance, Analyst, Strategy/Planning,Marketing, Sales, Advertising,Accounting/Auditing, Consulting,General Business, Accounting/Auditing, Finance,Administrative, Accounting/Auditing, Finance,Administrative, Finance, Accounting/Auditing,Manufacturing, Finance,Research, Analyst, Information Technology,Finance, Information Technology, Product Management,Administrative, Finance,Finance, Accounting/Auditing, Other,Manufacturing, Finance, Strategy/Planning,Finance, Accounting/Auditing, Consulting,Education, Training,Analyst, Marketing,Marketing, Sales","Management of Material Resources,Financial analysis software,Procedure management software",133
38,38,"Administrative, General Business, Customer Service,Customer Service, Information Technology",,24
39,39,"Engineering, Information Technology,Finance,Information Technology,Management, Distribution, Supply Chain,Research, Analyst, Information Technology,Sales, Business Development,Management, Manufacturing,Project Management, Information Technology,Accounting/Auditing, Finance,Finance, Sales,Marketing,Quality Assurance, Information Technology,Customer Service, Information Technology,Product Management, Marketing,Quality Assurance,Information Technology, Product Management, Engineering,Other,Administrative,Marketing, Consulting, Analyst,Project Management, Customer Service, Marketing,Design, Art/Creative, Information Technology",,50
40,40,"Information Technology, Engineering,Strategy/Planning, Information Technology,Information Technology,Legal, Consulting,Management, Strategy/Planning, Consulting,Finance,Advertising, Art/Creative, Marketing,Design,Design, Information Technology",,18
41,41,"Engineering, Information Technology,Management, Manufacturing,Project Management, Information Technology,Information Technology,Business Development, Administrative, Analyst,Business Development, Sales,Product Management, Marketing,Marketing, Sales,Public Relations,Design, Art/Creative, Information Technology",,40
42,42,"Engineering, Information Technology,Information Technology,Strategy/Planning, Analyst, Science,Accounting/Auditing,Accounting/Auditing, Management","Service Orientation,Equipment Selection,Installation,Operations Monitoring,Systems Evaluation,Data base user interface and query software,Content workflow software,Enterprise application integration software,Office suite software,Web platform development software,Internet browser software,Operating system software,Computer aided design CAD software,Metadata management software,Access software,Computer aided manufacturing CAM software,Medical software,Geographic information system,Facilities management software,Network monitoring software,Backup or archival software,Application server software,Network conferencing software,Multi-media educational software,Software defined networking/ virtualization software,Filesystem software,Network security and virtual private network VPN equipment software,Platform interconnectivity software,LAN software,Wireless software,Cloud-based protection or security software,Network connectivity terminal emulation software,Graphical user interface development software,Label making software,WAN switching software and firmware,License management software,Network operation system software,Administration software,Network security or virtual private network VPN management software,Gateway software,Internet directory services software,Storage networking software,Internet protocol IP multimedia subsystem software,Authentication server software,Clustering software,Network operating system enhancement software,Switch or router software,Bridge software,Optical network management software,Storage media loading software,Device drivers or system software,Library software,Graphics card driver software,Computer aided design CAD and computer aided manufacturing CAM system",66
43,43,"Engineering, Information Technology,Sales",,24
44,44,"Engineering, Information Technology,Information Technology,Finance, Sales,Sales, Business Development,Marketing,Project Management, Information Technology,Other,Research, Analyst, Information Technology,Marketing, Sales,Management, Manufacturing,Analyst, Strategy/Planning, Marketing,Marketing, Advertising, Product Management,Marketing, Sales, Project Management,Marketing, Administrative, Advertising,Art/Creative, Design,Marketing, Advertising,Marketing, Public Relations,Design, Art/Creative",,42
45,45,"Education, Engineering, Information Technology,Information Technology,Engineering, Information Technology,Information Technology, Engineering,Information Technology, Finance,Analyst, Information Technology, Engineering,Engineering,Finance, Engineering,Information Technology, Management, Product Management,Engineering, Information Technology, Product Management,Engineering, Information Technology, Other,Engineering, Finance, Information Technology,Product Management, Marketing,Other,Business Development, Sales,Accounting/Auditing, Information Technology,Advertising, Public Relations, Marketing,Management, Analyst, Information Technology,Human Resources,Sales, Marketing, Information Technology,Customer Service, Information Technology,Manufacturing, Engineering, Management,Analyst, Information Technology,Finance, Sales,Advertising, Marketing,Project Management, Business Development, Other,Training, Administrative, Human Resources,Project Management, Information Technology,Purchasing, Supply Chain,Marketing, Sales,Human Resources, Administrative, Consulting,Management, Manufacturing,Accounting/Auditing, Finance,Supply Chain,Finance, Information Technology,Research,Accounting/Auditing,Project Management,Quality Assurance, Customer Service, Product Management,Human Resources, Administrative, Project Management,Consulting, Information Technology, Engineering,Product Management,Engineering, Business Development, Management,Consulting,Sales, Other, Marketing,Design, Engineering,Sales, Business Development,Distribution, Project Management, Other,Finance,Administrative, Sales, Finance,Strategy/Planning, Consulting, Accounting/Auditing,Consulting, Accounting/Auditing,Research, Analyst, Information Technology,Accounting/Auditing, Finance, Administrative,Administrative,Marketing, Writing/Editing,Education, Training,Sales, Marketing, Customer Service,Marketing, Product Management,Marketing,Information Technology, Research,Advertising, Other,Marketing, Advertising, Strategy/Planning,Information Technology, Product Management, Research,Marketing, Business Development, Consulting,Writing/Editing, Advertising, Human Resources,Advertising, Art/Creative, Marketing,Design, Art/Creative, Information Technology,Product Management, Design, Project Management,Engineering, Information Technology, Research,Design",,199
46,46,"Information Technology,Information Technology, Engineering,Engineering, Information Technology,Art/Creative, Marketing,Information Technology, Marketing, Research,Legal, Marketing, Public Relations,Consulting, Project Management, Quality Assurance,Marketing, Sales,Finance, Product Management,Information Technology, Legal,Marketing, Sales, Advertising,Advertising, Marketing, Analyst,Strategy/Planning",,25
47,47,"Engineering, Information Technology,Information Technology, Consulting, Project Management,Management, Manufacturing,Information Technology,Human Resources,Sales, Business Development,Project Management, Quality Assurance, Other,Customer Service,Human Resources, Administrative,Legal, Other, General Business,Other, Finance,Accounting/Auditing,Marketing, Sales,Customer Service, Other, General Business,Project Management, Information Technology,Administrative, Human Resources, Purchasing,Finance, Sales,Administrative, Marketing,Management, General Business, Other,Human Resources, Training, Administrative,Human Resources, Management,Other,Marketing, Public Relations, Writing/Editing,Administrative,Project Management, Information Technology, Management,Management,Business Development, Sales,Human Resources, Strategy/Planning,Accounting/Auditing, Information Technology,Supply Chain, Human Resources, Strategy/Planning,Customer Service, Information Technology,Product Management,Education, Training,Analyst, Information Technology, Engineering,Finance, Accounting/Auditing,Accounting/Auditing, Finance,Training, Education, Human Resources,Human Resources, Marketing, Public Relations,Finance, Marketing,Marketing,Advertising, Marketing","Management of Personnel Resources,Human resources software",135
48,48,"Engineering, Information Technology,Information Technology,Finance, Information Technology,Project Management, Information Technology,Design, Art/Creative, Information Technology,Engineering,Management, Manufacturing,Manufacturing, Engineering, Project Management,Finance, Information Technology, Engineering,Engineering, Production,Other,Engineering, Training,Finance, Accounting/Auditing,Administrative, Project Management,Management, Customer Service, Engineering,Sales, Management,Strategy/Planning, Consulting, Information Technology,General Business, Information Technology, Engineering,Administrative,Human Resources,Quality Assurance,Consulting, Project Management,Finance, Production,Research, Analyst, Information Technology,Business Development, Sales,Project Management, Finance,Other, Information Technology, Management,Project Management, Engineering, Management,Purchasing, Supply Chain,Finance, Sales,Information Technology, Finance,Accounting/Auditing, Finance, Other,Sales, Business Development,Accounting/Auditing, Finance,Production,General Business, Finance, Analyst,Analyst, Research, Finance,Information Technology, Product Management, Design,Engineering, Purchasing, Supply Chain,Marketing, Customer Service,Design, Engineering, Manufacturing,Quality Assurance, Design,Design, Engineering, Project Management","Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Systems Analysis,Time Management,Compliance software,Manufacturing execution system MES software",133
