,TFIDF Cluster,jobSkill_x,jobSkill_y,title
125,127,"Human Resources,Information Technology,Human Resources, Management, Strategy/Planning,Training, Administrative, Human Resources,Finance, Human Resources,Human Resources, Training, Administrative,Human Resources, Strategy/Planning,Project Management, Management, Product Management,Business Development, Sales,Administrative,Engineering, Information Technology,Customer Service, Information Technology",,28
126,128,"Sales,Marketing, Sales,Engineering, Information Technology,Design, Art/Creative, Information Technology,Design, Engineering, Manufacturing,Design, Art/Creative,Project Management, Design,Project Management, Information Technology,Advertising, Marketing,Design,Design, Business Development",,12
127,129,"Management, Manufacturing,Sales,Human Resources,Other,Design, Art/Creative, Information Technology,Customer Service, Information Technology,Finance, Sales,Marketing, Sales",,16
128,130,"Research, Analyst, Information Technology,Quality Assurance,Other,Finance, Sales,Human Resources,Business Development, Sales,Customer Service, Information Technology,Accounting/Auditing, Finance,Information Technology,Education, Training",,25
129,131,"Sales, Business Development,Project Management, Information Technology,Marketing, Sales,Business Development, Sales,Engineering, Information Technology,Management, Manufacturing",,20
130,132,"Information Technology, Consulting, Finance",,2
131,133,"Sales, Business Development",,2
132,134,"Analyst, Information Technology, Project Management,Engineering, Information Technology,Information Technology,Other,Customer Service, Information Technology,Project Management, Information Technology,Accounting/Auditing, Finance,Management, Manufacturing,Marketing, Sales,Marketing, Product Management,Marketing,Engineering",,18
133,135,"Design, Art/Creative, Information Technology",,5
134,136,"Customer Service, Information Technology,Sales, Business Development",,12
135,137,"Engineering, Information Technology,Human Resources,Management, Manufacturing,Product Management, Marketing,Information Technology,Project Management, Information Technology,Business Development, Sales",,36
136,138,"Education, Training,Other,Engineering,Engineering, Design, Manufacturing,Engineering, Information Technology",,16
137,139,"Engineering, Information Technology,Research, Analyst, Information Technology,Sales, Business Development,Information Technology,Project Management, Information Technology,Accounting/Auditing, Finance,Finance, Sales,Customer Service, Information Technology,Other,Design, Art/Creative, Information Technology",,21
138,140,"Engineering, Information Technology,Information Technology, Engineering, Other,Management, Manufacturing,Information Technology",,5
139,141,"General Business, Analyst,Marketing, Sales,Customer Service, Marketing",Action games,5
140,142,"Engineering, Information Technology",,7
141,143,"Strategy/Planning, Information Technology, Consulting,Legal,Information Technology, Consulting, Engineering,Finance, Other",,16
142,144,"Engineering, Information Technology,Administrative, Sales, Finance,Finance, Sales,Information Technology,Design, Art/Creative, Information Technology,Finance, Accounting/Auditing, Consulting",,12
143,145,"Marketing, Public Relations, Writing/Editing,Engineering, Information Technology,Marketing,Information Technology,Design,Quality Assurance",,10
144,146,"Engineering, Information Technology,Finance, Sales,Information Technology,Project Management, Information Technology,Other, Information Technology, Management,Marketing, Sales,Sales, Business Development,Other",,70
145,147,"Engineering, Information Technology,Information Technology,Other,Strategy/Planning, Marketing, Business Development,Sales,Information Technology, Supply Chain,Sales, Product Management, Customer Service,Information Technology, Marketing,Project Management, Information Technology,Marketing, Sales,Marketing, Writing/Editing, Public Relations,Marketing,Management, Manufacturing,Strategy/Planning, Business Development, Management,Analyst, Strategy/Planning, Marketing,Design, Art/Creative, Information Technology,Sales, Business Development,Marketing, Administrative, Advertising,Marketing, Public Relations,Design, Art/Creative",,32
146,148,"Information Technology, Product Management, Engineering,Engineering, Information Technology,Information Technology,Information Technology, Business Development,Finance, Information Technology,Consulting,Finance, Sales,Advertising, Art/Creative, Marketing,Project Management, Information Technology,Management, Manufacturing,Research, Analyst, Information Technology,Analyst, Research, Information Technology,Analyst,Information Technology, Analyst, Research,Administrative,Other,Sales, Business Development,Business Development, Sales,Analyst, Finance,Finance,Legal,Finance, Accounting/Auditing,Finance, Information Technology, Analyst,Strategy/Planning, Consulting,Strategy/Planning, Analyst, Project Management,Customer Service,Legal, Consulting, Information Technology,Marketing,Marketing, Analyst, Project Management,Product Management, Marketing,Analyst, Marketing,Information Technology, Project Management, Engineering",Data mining software,79
147,149,"Sales, Marketing, Information Technology,Project Management, Information Technology,Information Technology,Finance, Sales,Finance,Project Management,Project Management, Administrative, General Business,Project Management, Research, Science,Management, Manufacturing,Purchasing, Supply Chain,General Business, Other,Management,Product Management, Marketing",,27
