,TFIDF Cluster,jobSkill_x,jobSkill_y,title
47,47,"Engineering, Information Technology,Information Technology,Information Technology, Engineering,Engineering,Information Technology, Finance, Consulting,Product Management,Engineering, Information Technology, Manufacturing,Analyst, Information Technology, Engineering,Engineering, Information Technology, Strategy/Planning,Information Technology, Consulting, Project Management,Customer Service, Sales, Business Development,Engineering, Management, Science,Other,Analyst,Sales,Human Resources,Marketing, Sales, Business Development,Research, Science,Other, Information Technology, Management,Project Management, Information Technology,Information Technology, Finance, Marketing,Manufacturing, Engineering, Management,Marketing, Sales,Business Development, Sales,Marketing, Public Relations, Writing/Editing,Administrative, Human Resources, Purchasing,Business Development, Marketing,Management, Manufacturing,Purchasing, Supply Chain,Sales, Business Development,Product Management, Marketing,Sales, Management,Administrative, Consulting,Accounting/Auditing,Human Resources, Administrative, Consulting,Design, Art/Creative, Information Technology,Project Management, Information Technology, Management,Sales, Business Development, Management,Engineering, Design,Finance, Other,Information Technology, Customer Service,Education,Human Resources, Management, Strategy/Planning,Product Management, Engineering, Supply Chain,Engineering, Business Development, Management,Strategy/Planning, Analyst, Science,Research, Analyst, Information Technology,Customer Service, Information Technology,Accounting/Auditing, Finance,Education, Training,Administrative, Customer Service,Health Care Provider,Finance, Sales,Legal,Analyst, Strategy/Planning,Management, Accounting/Auditing, Other,Finance,General Business,Finance, Management, Other,Education, Marketing, Training,Consulting,Engineering, Purchasing, Supply Chain,Research, Science, Management,Marketing,Business Development,Advertising, Marketing, Strategy/Planning,Consulting, Information Technology, Project Management,Strategy/Planning, Information Technology,Sales, Marketing,Marketing, Customer Service, Management,Administrative,Design, Engineering, Information Technology,Finance, Design,Consulting, Engineering, Project Management,Engineering, Design, Research,Engineering, Manufacturing, Design,Design,Engineering, Project Management","Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Learning Strategies,Coordination,Persuasion,Negotiation,Operations Analysis,Troubleshooting,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Management of Financial Resources,Management of Material Resources,Presentation software,Spreadsheet software,Mailing and shipping software,Manufacturing execution system MES software,Data compression software,Library software,Dictionary software,Foreign language software,Text to speech conversion software,Fax software,Bar coding software,Graphics card driver software,Voice synthesizer and recognition software",305
48,49,"Management, Manufacturing,Sales, Business Development,Customer Service, Information Technology,Education, Training,Customer Service, Business Development,Management, Customer Service, Training",,16
49,50,"Engineering,Management, Manufacturing,Product Management, Marketing,Project Management, Information Technology,Business Development, Sales,Consulting, Information Technology, Sales,Customer Service, Information Technology,Marketing, Sales,Other,Engineering, Information Technology",,20
50,51,"Engineering, Information Technology,Finance, Sales,Customer Service, Information Technology,Marketing, Sales,Other,Design, Art/Creative, Information Technology",,16
51,52,"Accounting/Auditing, Finance,Finance, Sales,Administrative,Project Management, Information Technology,Engineering, Information Technology,Marketing, Sales",,9
52,53,"Accounting/Auditing, Strategy/Planning,Information Technology,General Business, Management, Consulting,Other,Finance, Sales,Finance, Sales, Analyst,Analyst, Finance,Strategy/Planning, Consulting, Information Technology,Finance, Management, Product Management,Sales, Business Development,Finance,Research, Analyst, Information Technology,Business Development, Sales,Management, Manufacturing",Risk management data and analysis software,23
53,54,Other,,17
54,56,"Information Technology,Engineering,Engineering, Information Technology,Research,Research, Analyst, Information Technology,Design, Marketing, Information Technology,Information Technology, Engineering,Management, Supply Chain,Human Resources,Consulting,Design, Art/Creative, Information Technology,Finance,Sales, Business Development, Finance,Purchasing, Supply Chain,Training, Management, Customer Service,General Business, Management, Strategy/Planning,Management, Manufacturing,Business Development, Sales,Sales, Business Development,Other,Customer Service, Information Technology,Project Management, Information Technology,Human Resources, Information Technology,Management, Analyst, Information Technology,Business Development, Information Technology,Marketing, Public Relations, Writing/Editing,Management, Consulting, Finance,Analyst, Information Technology,Purchasing, Distribution, Supply Chain,Sales,Supply Chain,Project Management, Business Development, Other,Finance, Accounting/Auditing,Customer Service, Information Technology, Engineering,Marketing, Sales,Consulting, Project Management, Quality Assurance,Accounting/Auditing, Finance,Legal, Quality Assurance,Business Development, Consulting, Sales,Sales, Business Development, Other,Product Management, Marketing,Quality Assurance, Customer Service, Product Management,Finance, Sales,Project Management, Management, Product Management,Strategy/Planning,Sales, Business Development, Information Technology,Project Management, Product Management, Engineering,Project Management, Management, Strategy/Planning,Supply Chain, Human Resources, Strategy/Planning,Consulting, Information Technology, Engineering,Manufacturing,General Business, Other,Information Technology, Legal,Marketing,Project Management, Strategy/Planning, Supply Chain,Engineering, Consulting, Customer Service,Consulting, Information Technology, Sales,Public Relations,Customer Service, Sales,Customer Service,Design, Engineering,Legal,Finance, Accounting/Auditing, Legal,Training, Education,Manufacturing, Product Management, Project Management,General Business, Management, Business Development,Consulting, Information Technology, Finance,Administrative,Business Development,Information Technology, Finance,Science, Consulting, Engineering,Analyst, Information Technology, Consulting,Information Technology, Management,Consulting, Information Technology, Project Management,Accounting/Auditing, Analyst, Finance,Purchasing, Supply Chain, Manufacturing,Training, Education, Human Resources,Strategy/Planning, Consulting, General Business,Other, Information Technology, Management,Research, Science,Information Technology, Project Management, Product Management,Business Development, Marketing,Project Management, Sales, Management,Customer Service, Advertising, Public Relations,Product Management, Marketing, Information Technology,Supply Chain, Consulting, Sales,Supply Chain, Consulting,Information Technology, Consulting, Engineering",,288
55,57,"General Business, Accounting/Auditing,Accounting/Auditing, Analyst, Finance,Finance, Information Technology,Finance, Sales,Finance, Accounting/Auditing, Strategy/Planning,Accounting/Auditing,Education,Finance, Analyst, Accounting/Auditing,Accounting/Auditing, Finance, Analyst,Accounting/Auditing, Finance,Legal,Finance,Finance, Accounting/Auditing, Consulting,Information Technology,Management, Manufacturing,Business Development, Sales,Finance, Accounting/Auditing,Information Technology, Project Management, Finance,Administrative,Project Management, Finance,Finance, Accounting/Auditing, Administrative,Information Technology, Product Management, Engineering,Information Technology, Finance,Supply Chain, Accounting/Auditing, Finance,General Business, Finance, Other,Finance, Analyst,Management, Accounting/Auditing,Finance, Consulting,Accounting/Auditing, Finance, Administrative,Manufacturing, Finance,Manufacturing, Accounting/Auditing, Finance,General Business,Analyst,Consulting,Project Management, Information Technology,Legal, Human Resources, Information Technology,Finance, Information Technology, Accounting/Auditing,Accounting/Auditing, Finance, Management,Science, Other,Other,Finance, Accounting/Auditing, Analyst,Research, Analyst, Information Technology,Business Development,Finance, Accounting/Auditing, Management",,84
56,58,"Sales, Business Development,Management, Manufacturing,Supply Chain, Distribution, Manufacturing",,6
